Category,Name,Image Path,Description,Style
Bar-furniture,Bar-stool-with-backrest,database/images\Bar-furniture---------Bar-stool-with-backrest----------75-cm.jpg,"Big, bigger, biggest - our super comfy EKEDALEN chairs keep the conversation going until you ask the guests to leave. Available in 3 heights for a perfect match with EKEDALEN bar table or dining table.",Modern
Bar-furniture,Bar-stool-with-backrest,database/images\Bar-furniture---------Bar-stool-with-backrest----------75-cm.jpg,"Big, bigger, biggest - our super comfy EKEDALEN chairs keep the conversation going until you ask the guests to leave. Available in 3 heights for a perfect match with EKEDALEN bar table or dining table.",Modern
Bar-furniture,Bar-table-and-2-bar-stools,database/images\Bar-furniture---------Bar-table-and-2-bar-stools.jpg,You can hang essentials like your bag or jacket within convenient reach on the two hooks underneath the table top.,Minimalist
Bar-furniture,Bar-table,database/images\Bar-furniture---------Bar-table----------70x70-cm.jpg,A square bar table with a sleek and stable design that’s perfect for casual chit chat and a bite to eat whether in a smaller kitchen or office setting.,Modern
Bar-furniture,Bar-stool,database/images\Bar-furniture---------Bar-stool----------75-cm.jpg,The soft and rounded back support feels like a nice embrace and makes the bar stool easy to hang on the table edge when it’s time to clean up.,Scandinavian
Bar-furniture,Bar-stool-with-backrest,database/images\Bar-furniture---------Bar-stool-with-backrest----------75-cm.jpg,Our super comfy NORDVIKEN bar stool with deepening in the seat and curved backrest keeps the conversation going until you ask the guests to leave. A perfect match with NORDVIKEN bar table.,Modern
Bar-furniture,Bar-table-and-4-bar-stools,database/images\Bar-furniture---------Bar-table-and-4-bar-stools----------120-cm.jpg,"The spacious bar table top gives plenty of space for eating, socialising but also for working.",Modern
Bar-furniture,Bar-table,database/images\Bar-furniture---------Bar-table----------70-cm.jpg,"A round bar table with a sleek and stable design that’s perfect for casual chit chat and a bite to eat whether in a bar, restaurant, smaller kitchen or office setting.",Modern
Bar-furniture,Bar-stool,database/images\Bar-furniture---------Bar-stool----------77-cm.jpg,A comfortable bar stool with clean lines in white and chrome. If you have several you can stack them – handy when it's time to sweep the floor or if you just want some more floor space.,Modern
Beds,Ext-bed-frame-with-slatted-bed-base,database/images\Beds---------Ext-bed-frame-with-slatted-bed-base----------80x200-cm.jpg,This extendable bed grows as your child grows – without lightening your wallet. Every detail is made with care and the timeless look is easy to match with other furniture.,Traditional
Beds,Bed-frame-w-storage-and-headboard,database/images\Beds---------Bed-frame-w-storage-and-headboard----------90x200-cm.jpg,"With hidden storage in several places, this bed frame is an expert at saving space. In the headboard you can store books and other things you want close at hand. Perfect for in a small-space living.",Modern
Beds,Cot,database/images\Beds---------Cot----------60x120-cm.jpg,"Timeless design, bevelled edges and soft rounded corners. Just as safe and secure as all of our other cots – just a little nicer to your wallet.",Traditional
Beds,Bed-frame-with-4-drawers,database/images\Beds---------Bed-frame-with-4-drawers----------140x244x163-cm.jpg,PLATSA bed covers your sleep and storage needs helping you create your own oasis in the smallest of places. Together with PLATSA system you can have both a space for privacy and a home for all your things.,Modern
Beds,Ext-bed-frame-with-slatted-bed-base,database/images\Beds---------Ext-bed-frame-with-slatted-bed-base----------80x200-cm.jpg,"A bed that grows with your child – in length and in style. You can easily extend the bed and replace the headboard when you want to change the look. A dream for you, your child and your wallet.",Modern
Beds,Bed-frame-w-storage-and-headboard,database/images\Beds---------Bed-frame-w-storage-and-headboard----------140x200-cm.jpg,A bed frame with hidden storage in several places – perfect if you live in a small space. The BRIMNES series has several smart solutions that help you save space.,Modern
Beds,Bed-frame,database/images\Beds---------Bed-frame----------90x200-cm.jpg,"The natural solid wood is beautiful as it is or you can make it more personal by staining, painting or waxing it. Also, the bed frame is high enough so you can place storage boxes underneath.",Bohemian
Beds,Bed-frame,database/images\Beds---------Bed-frame----------180x200-cm.jpg,"If you’re a romantic, you’ll find it hard to resist these decorative curves in white steel. Make the bed with beautiful textiles and pillows and enjoy your dreams with fairy tale endings.",Traditional
Beds,Bed-frame,database/images\Beds---------Bed-frame----------140x200-cm.jpg,"The natural solid wood is beautiful as it is or you can make it more personal by staining, painting or waxing it. Also, the bed frame is high enough so you can place storage boxes underneath.",Bohemian
Beds,Bed-frame,database/images\Beds---------Bed-frame----------140x200-cm.jpg,"Sustainable beauty from sustainably-sourced solid wood, a durable and renewable material that maintains its genuine character with each passing year. Combines with the other furniture in the HEMNES series.",Modern
Beds,Bed-frame,database/images\Beds---------Bed-frame----------90x200-cm.jpg,"The natural solid wood is beautiful as it is or you can make it more personal by staining, painting or waxing it. Also, the bed frame is high enough so you can place storage boxes underneath.",Bohemian
Beds,Bed-frame,database/images\Beds---------Bed-frame----------140x200-cm.jpg,"A classic bed frame with a brass twist. The curved headboard and brass-coloured details soften the sturdy steel. Dressed with your favourite linens, it becomes a statement piece and your own personal haven.",Traditional
Beds,Bed-frame-with-storage,database/images\Beds---------Bed-frame-with-storage----------90x200-cm.jpg,"Small-space living doesn’t mean you have to compromise on style or a good night’s sleep. This compact bed frame has adjustable sides, so that you can choose the mattress thickness that you want.",Modern
Beds,Bed-frame,database/images\Beds---------Bed-frame----------140x200-cm.jpg,"Let the clean, simple design stand out or let the bed be a backdrop for your favourite textiles or other furnishings. The low headboard makes it a perfect choice under a window or sloped ceiling.",Scandinavian
Beds,Bed-frame-high,database/images\Beds---------Bed-frame-high----------140x200-cm.jpg,"A clean design that’s just as beautiful on all sides – place the bed freestanding or with the headboard against a wall. If you need space for extra bedding, add MALM bed storage boxes on castors.",Scandinavian
Beds,Day-bed-frame-with-slatted-bed-base,database/images\Beds---------Day-bed-frame-with-slatted-bed-base----------90x200-cm.jpg,A classic powder coated steel frame which is easy to maintain. The timeless design means that you decide what style you want - minimalistic or colourful with lots of patterns.,Traditional
Beds,Bed-frame,database/images\Beds---------Bed-frame----------140x200-cm.jpg,"A sturdy bed frame with soft, profile edges and high legs. A classic shape that will last for many years. Complete with SONGESAND bed storage boxes to store extra bedding without taking up more space.",Traditional
Beds,Bed-frame-high-w-2-storage-boxes,database/images\Beds---------Bed-frame-high-w-2-storage-boxes----------180x200-cm.jpg,A clean design that’s just as beautiful on all sides – place the bed freestanding or with the headboard against a wall. You also get spacious storage boxes that roll out smoothly on castors.,Scandinavian
Beds,Bed-frame-with-slatted-bed-base,database/images\Beds---------Bed-frame-with-slatted-bed-base----------70x160-cm.jpg,How can a bed in solid wood cost so little? The answer is simple – efficient production in large volumes and a smart construction that can be transported in a flat-pack at a low cost.,Minimalist
Beds,Bed-frame-with-storage,database/images\Beds---------Bed-frame-with-storage----------140x200-cm.jpg,When you live in a small space you need to be clever. That’s probably why you’re looking at this bed frame with 4 spacious drawers. The BRIMNES series has several heroes that help you save space.,Modern
Beds,Day-bed-frame-with-3-drawers,database/images\Beds---------Day-bed-frame-with-3-drawers----------80x200-cm.jpg,"A sofa, a single bed, a double bed and storage in one piece of furniture! Perfect if you are tight of space. If you like the style, you can combine it with other furniture in the HEMNES series.",Modern
Beds,Bed-frame,database/images\Beds---------Bed-frame----------140x200-cm.jpg,The durable steel construction is coupled with a net-patterned headboard creating a light and airy expression. A simple design that mixes nicely with a variety of other styles and furniture.,Scandinavian
Beds,Bed-frame,database/images\Beds---------Bed-frame----------140x200-cm.jpg,It’s light and neat with soft shapes and a handcrafted feel in every detail – quality and style that will last for years. TYSSEDAL series also has other bedroom furniture with the same Scandinavian look.,Scandinavian
Beds,Bed-frame-high-w-2-storage-boxes,database/images\Beds---------Bed-frame-high-w-2-storage-boxes----------90x200-cm.jpg,A clean design that’s just as beautiful on all sides – place the bed freestanding or with the headboard against a wall. You also get spacious storage boxes that roll out smoothly on castors.,Scandinavian
Beds,Bed-frame-high,database/images\Beds---------Bed-frame-high----------90x200-cm.jpg,"A clean design that’s just as beautiful on all sides – place the bed freestanding or with the headboard against a wall. If you need space for extra bedding, add MALM bed storage boxes on castors.",Scandinavian
Beds,Bed-frame-with-underbed-and-storage,database/images\Beds---------Bed-frame-with-underbed-and-storage----------90x200-cm.jpg,"It can feel scary sleeping alone. Under this bed frame there is an extra bed and 2 drawers for the duvet and pillow. Perfect for siblings who share a room, friends or when it's time for a bedtime story.",Modern
Beds,Bed-frame-with-slatted-bed-base,database/images\Beds---------Bed-frame-with-slatted-bed-base----------70x160-cm.jpg,"In this robust white bed, your child sleeps safely with a sturdy guard rail by their side, both day and night. The same series also has tables and chairs that are perfect in the arts and crafts corner.",Modern
Beds,Bed-frame-with-4-storage-boxes,database/images\Beds---------Bed-frame-with-4-storage-boxes----------140x200-cm.jpg,"Practical storage for an extra pillow, quilt or bedspread.",Modern
Beds,Bed-frame,database/images\Beds---------Bed-frame----------90x200-cm.jpg,"A classic bed frame with a brass twist. The curved headboard and brass-coloured details soften the sturdy steel. Dressed with your favourite linens, it becomes a statement piece and your own personal haven.",Traditional
Beds,Bed-frame,database/images\Beds---------Bed-frame----------140x200-cm.jpg,"The natural solid wood is beautiful as it is or you can make it more personal by staining, painting or waxing it. Also, the bed frame is high enough so you can place storage boxes underneath.",Bohemian
Beds,Bed-frame-with-slatted-bed-base,database/images\Beds---------Bed-frame-with-slatted-bed-base----------90x200-cm.jpg,"This bed frame is very versatile. Combine it with an underbed with storage underneath, or with different modules to create extra storage space or a comfy place for hanging out with friends.",Transitional
Beds,Sofa-bed,database/images\Beds---------Sofa-bed----------120-cm.jpg,"This sofa quickly and easily transforms into a spacious bed for two. A tense fabric makes it nice to sit and sleep on, and its lightweight - perfect when cleaning or rearranging furniture.",Scandinavian
Beds,Pouffemattress-foldable,database/images\Beds---------Pouffemattress-foldable.jpg,"Kids love being on a soft mattress on the floor – this one is great for tumbling, lounging or hanging out with friends. When it’s time to tidy up just fold it and tuck it away under SLÄKT bed.",Modern
Beds,Bed-frame-w-storage-and-headboard,database/images\Beds---------Bed-frame-w-storage-and-headboard----------140x200-cm.jpg,"There’s plenty of space in the drawers for clothes, extra duvets and sweet dreams – and you can position the headboard’s box and shelf so your favourite book is easy to reach. A perfect combination!",Modern
Beds,Day-bed-frame,database/images\Beds---------Day-bed-frame----------80x200-cm.jpg,"Plenty of room for your guests or for long, lazy days. Use the day-bed as a free standing chaise longue, a single bed or lift and pull out the extra bed base to create a double bed.",Modern
Beds,Bed-frame-with-2-storage-boxes,database/images\Beds---------Bed-frame-with-2-storage-boxes----------140x200-cm.jpg,"A sturdy bed frame with soft, profile edges and high legs. A classic shape that will last for many years. Also, there are spacious storage boxes under the bed where you can store bedding or clothes.",Traditional
Beds,Bed-frame-high-w-4-storage-boxes,database/images\Beds---------Bed-frame-high-w-4-storage-boxes----------140x200-cm.jpg,A clean design that’s just as beautiful on all sides – place the bed freestanding or with the headboard against a wall. You also get spacious storage boxes that roll out smoothly on castors.,Scandinavian
Beds,Bunk-bed-frame,database/images\Beds---------Bunk-bed-frame----------90x200-cm.jpg,A bunk bed is perfect when you need 2 sleeping places on a small area. This one has passed the same tough safety tests as all our other bunk beds. It’s just a little lower – and cheaper.,Modern
Beds,Bed-frame,database/images\Beds---------Bed-frame----------90x200-cm.jpg,"Sustainable beauty from sustainably-sourced solid wood, a durable and renewable material that maintains its genuine character with each passing year. Combines with the other furniture in the HEMNES series.",Modern
Beds,Bed-frame,database/images\Beds---------Bed-frame----------90x200-cm.jpg,"Sustainable beauty from sustainably-sourced solid wood, a durable and renewable material that maintains its genuine character with each passing year. Combines with the other furniture in the HEMNES series.",Modern
Beds,Extendable-bed,database/images\Beds---------Extendable-bed----------80x200-cm.jpg,"Playful design in strong materials with durable surfaces and soft rounded corners. It’s also extendable so that it grows with your child. A bed made for a cheeky child, or BUSUNGE as they say in Sweden.",Modern
Beds,Bed-frame,database/images\Beds---------Bed-frame----------140x200-cm.jpg,This bed is what you make of it! Use the low end as a headboard or the other way around. Hang your outfits or hang fabric to create a room divider – or let it stand on its own in the middle of the room.,Modern
Beds,Stackable-bed,database/images\Beds---------Stackable-bed----------80x200-cm.jpg,"When stacked, these 2 beds become a single bed or sofa. Unstacked, you get a double bed, corner sofa or spare bed for sleepovers. And, if you need space for yoga, just stack them again.",Modern
Beds,Net,database/images\Beds---------Net.jpg,Easy to keep clean since you can remove the fabric and wash it by machine.,Scandinavian
Beds,Reversible-bed,database/images\Beds---------Reversible-bed----------90x200-cm.jpg,"This low bed is perfect for younger children, but also grows with them. You can turn it upside down when your child gets older – creating a play corner in no time with space for play and cosy times.",Modern
Beds,Corner-sofa-bed-with-storage,database/images\Beds---------Corner-sofa-bed-with-storage.jpg,"After a good night’s sleep, you can effortlessly convert your bedroom or guest room into a living room again. The built-in storage is easy to access and spacious enough to stow bedding, books and PJs.",Modern
Beds,Slatted-bed-base,database/images\Beds---------Slatted-bed-base----------80x200-cm.jpg,LURÖY slatted bed base with curved slats helps to absorb your body weight. The open structure allows air to circulate – which improves the breathability of the mattress and keeps it fresh.,Contemporary
Beds,Cot,database/images\Beds---------Cot----------60x120-cm.jpg,"Your baby sleeps safely and comfortably in this cot. Made from solid beech – a hardwearing, durable and renewable natural material that is both good for your wallet and the planet.",Bohemian
Beds,Bed-frame-with-2-storage-boxes,database/images\Beds---------Bed-frame-with-2-storage-boxes----------90x200-cm.jpg,"Practical storage for an extra pillow, quilt or bedspread.",Modern
Beds,Day-bed-frame-with-3-drawers,database/images\Beds---------Day-bed-frame-with-3-drawers----------80x200-cm.jpg,"A sofa, a single bed, a double bed and storage in one piece of furniture! Perfect if you are tight of space. If you like the style, you can combine it with other furniture in the HEMNES series.",Modern
Beds,Bed-frame-high,database/images\Beds---------Bed-frame-high----------90x200-cm.jpg,"A clean design that’s just as beautiful on all sides – place the bed freestanding or with the headboard against a wall. If you need space for extra bedding, add MALM bed storage boxes on castors.",Scandinavian
Beds,Underbed-with-storage,database/images\Beds---------Underbed-with-storage----------90x200-cm.jpg,"Perfect when your child wants you close by or when a friend is sleeping over. When the morning comes, simply roll it back under SLÄKT bed.",Modern
Beds,Foam-mattress,database/images\Beds---------Foam-mattress----------140x200-cm.jpg,This foam mattress for NYHAMN sofa-bed helps you sleep well every night. It feels steady to lie on – and has a mattress cover that can be removed and machine washed.,Modern
Beds,Bed-frame-w-storageslatted-bedbase,database/images\Beds---------Bed-frame-w-storage+slatted-bedbase----------90x200-cm.jpg,"A teenager's dream. A nice bed with lots of storage which swallows up everything from t-shirts to hobby things, and not least, dirty laundry. Everything in a small space and at a comfortable distance.",Transitional
Beds,Headboard-with-storage-compartment,database/images\Beds---------Headboard-with-storage-compartment----------140-cm.jpg,"When you are tight for space, try putting everything behind you. The hidden storage for books, magazines and all other things you like to keep nearby makes BRIMNES headboard a small-space hero.",Modern
Beds,Ext-bed-frame-with-slatted-bed-base,database/images\Beds---------Ext-bed-frame-with-slatted-bed-base----------80x200-cm.jpg,"The style is timeless, the materials are durable and the details are made with care. The bed can also be extended as your child grows. There is room here for many beautiful dreams – and generations.",Traditional
Beds,Ottoman-bed,database/images\Beds---------Ottoman-bed----------160x200-cm.jpg,This bed gives you spacious storage without taking up more floor space. Simply flip up the bed base and hide your things inside. Place it freestanding or with the headboard against a wall.,Modern
Beds,Bunk-bed-frame,database/images\Beds---------Bunk-bed-frame----------90x200-cm.jpg,This affordable bunk bed is made of solid wood – a durable material that lasts for generations and can be recycled when children move away from home. Good for your wallet and our environment.,Modern
Beds,Bed-frame-with-storage,database/images\Beds---------Bed-frame-with-storage----------140x200-cm.jpg,"NORDLI bed frame is more than a comfortable bed. It’s also a storage unit with 6 spacious drawers. A practical solution for clothes, extra duvets and sweet dreams – all in a small space.",Transitional
Beds,Loft-bed-frame,database/images\Beds---------Loft-bed-frame----------90x200-cm.jpg,A loft bed is perfect when you need to combine several functions on a small surface. This one has passed the same tough safety tests as all our other loft beds. It’s just a little lower – and cheaper.,Modern
Beds,Desk-top,database/images\Beds---------Desk-top----------95x45-cm.jpg,"With this desk, you can easily create a writing space under VITVAL loft bed. The support leg makes it sturdy and you can pimp the pegboard with accessories from the SKÅDIS series. The holes fit perfectly.",Modern
Beds,Bed-frame-with-10-drawers,database/images\Beds---------Bed-frame-with-10-drawers----------140x244x103-cm.jpg,PLATSA bed covers your sleep and storage needs helping you create your own oasis in the smallest of places. Together with PLATSA system you can have both a space for privacy and a home for all your things.,Modern
Beds,Bed-frame-with-storage,database/images\Beds---------Bed-frame-with-storage----------140x200-cm.jpg,PLATSA bed covers your sleep and storage needs helping you create your own oasis in the smallest of places. Together with PLATSA system you can have both a space for privacy and a home for all your things.,Modern
Beds,Bed-frame-with-6-doors12-drawers,database/images\Beds---------Bed-frame-with-6-doors+12-drawers----------140x244x203-cm.jpg,PLATSA bed covers your sleep and storage needs helping you create your own oasis in the smallest of places. Together with PLATSA system you can have both a space for privacy and a home for all your things.,Modern
Beds,Day-bed-frame-with-2-drawers,database/images\Beds---------Day-bed-frame-with-2-drawers----------80x200-cm.jpg,"A sofa by day and a bed for one – or two – by night. The two large drawers give plenty of space for duvets, pillows and bed linen. A smart solution when you live in a small space.",Modern
Beds,Bed-frame-with-4-storage-boxes,database/images\Beds---------Bed-frame-with-4-storage-boxes----------140x200-cm.jpg,"A sturdy bed frame with soft, profile edges and high legs. A classic shape that will last for many years. Also, there are spacious storage boxes under the bed where you can store bedding or clothes.",Traditional
Beds,Bed-frame-with-3-storage-boxes,database/images\Beds---------Bed-frame-with-3-storage-boxes----------90x200-cm.jpg,Bed with a clean design and 3 spacious storage boxes on castors that you can move as needed and also use as tables. All with a timeless look that can follow your child from toddler years to adulthood.,Traditional
Beds,Bed-frame-with-2-drawers,database/images\Beds---------Bed-frame-with-2-drawers----------142x244x103-cm.jpg,PLATSA bed covers your sleep and storage needs helping you create your own oasis in the smallest of places. Together with PLATSA system you can have both a space for privacy and a home for all your things.,Modern
Beds,Mattress,database/images\Beds---------Mattress----------140x188-cm.jpg,"A simple foam mattress that always does its job. Whether you sleep on it every night or just now and then, it provides you – or your guests – with a comfy firm sleeping comfort.",Scandinavian
Beds,Headboard-with-storage-compartment,database/images\Beds---------Headboard-with-storage-compartment----------90-cm.jpg,"When you are tight for space, try putting everything behind you. The hidden storage for books, magazines and all other things you like to keep nearby makes BRIMNES headboard a small-space hero.",Modern
Beds,Ext-bed-frame-with-slatted-bed-base,database/images\Beds---------Ext-bed-frame-with-slatted-bed-base----------80x200-cm.jpg,"A bed that grows with your child – in length and in style. You can easily extend the bed and replace the headboard when you want to change the look. A dream for you, your child and your wallet.",Modern
Beds,Bed-tent-708090,database/images\Beds---------Bed-tent----------708090.jpg,"With this bed tent you can quickly and easily create a cosy, secluded part of your child's bed – regardless if it’s 70, 80 or 90 cm wide. Nice to crawl under to read, rest or sleep.",Modern
Beds,Bed-canopy,database/images\Beds---------Bed-canopy.jpg,"With a bed canopy over the cradle, cot or bed, you create a calm place that makes the children's room extra cosy, like in a fairytale. Here, your child will sleep like a prince or princess.",Modern
Beds,Day-bed-frame-with-2-drawers,database/images\Beds---------Day-bed-frame-with-2-drawers----------80x200-cm.jpg,"A sofa by day and a bed for one – or two – by night. The two large drawers give plenty of space for duvets, pillows and bed linen. A smart solution when you live in a small space.",Modern
Beds,3-seat-sofa-bed,database/images\Beds---------3-seat-sofa-bed.jpg,"GRÄLVIKEN sofa-bed is easy to assemble, comfortable to sit on – and nice to sleep on. It also has practical storage for bedlinens. A smart choice for those who have overnight guests now and then.",Transitional
Beds,Bed-frame-with-4-drawers,database/images\Beds---------Bed-frame-with-4-drawers----------142x244x43-cm.jpg,PLATSA bed covers your sleep and storage needs helping you create your own oasis in the smallest of places. Together with PLATSA system you can have both a space for privacy and a home for all your things.,Modern
Beds,Bunk-bed-frame,database/images\Beds---------Bunk-bed-frame----------90x200-cm.jpg,"Soft shapes and fabric guardrails. These are the details that make this bunk bed unique. Perfect when you need space for two, but have limited space. Pimp it with accessories from the MÖJLIGHET series.",Modern
Beds,Storage-box-with-castors,database/images\Beds---------Storage-box-with-castors----------62x62x35-cm.jpg,"Perfect when it’s time for play – just roll it out. And when it’s time to tidy up, simply put the toys back into the drawer and roll it under the bed. Just as easy, every day.",Modern
Beds,Headboard,database/images\Beds---------Headboard----------140160-cm.jpg,The flexible headboard with built-in bedside tables can be positioned at any height for your preferred look and convenience. A smart combo with under-bed storage – nothing gets in the way of the drawers.,Modern
Beds,Leg,database/images\Beds---------Leg----------10-cm.jpg,"Made of solid wood, which is a hardwearing and warm natural material.",Scandinavian
Beds,Leg,database/images\Beds---------Leg----------10-cm.jpg,"Made of solid wood, which is a hardwearing and warm natural material.",Scandinavian
Beds,Loft-bed-frame-with-desk-top,database/images\Beds---------Loft-bed-frame-with-desk-top----------90x200-cm.jpg,"It is the details that make this loft bed unique. Soft shapes, fabric guardrails and a desk with a practical pegboard. You can also pimp it with accessories from the MÖJLIGHET and SKÅDIS series.",Modern
Beds,Cot,database/images\Beds---------Cot----------60x120-cm.jpg,"A timeless cot with practical features that allows your baby to sleep safely until it's time for a ""real"" bed. As the baby grows, you can actually move the bottom down and remove one of the long sides.",Traditional
Beds,Mattress,database/images\Beds---------Mattress----------140x188-cm.jpg,This mattress for LYCKSELE sofa-bed helps you sleep well every night. It shapes itself to your body and helps your spine maintain a correct position – and the cover can be removed and machine washed.,Modern
Beds,Cot,database/images\Beds---------Cot----------60x120-cm.jpg,"Your baby can sleep for a long time in this cot. With a timeless style, durable materials and details made with care, you can also lower the bottom and remove one of the long sides as the child grows.",Traditional
Beds,3-seat-sofa-bed,database/images\Beds---------3-seat-sofa-bed.jpg,You can quickly transform this sofa into a spacious bed. And the generous storage space for bed linens under the seat makes things even easier. A perfect place to sleep for you or your overnight guests.,Modern
Beds,Leg,database/images\Beds---------Leg----------10-cm.jpg,Durable and easy to clean as it is made of stainless steel.,Scandinavian
Beds,Headboard,database/images\Beds---------Headboard.jpg,"With this white headboard, you can quickly and easily change the expression of SLÄKT extendable frame. A flexible and wallet-friendly solution when your child feels like changing style.",Modern
Beds,Leg,database/images\Beds---------Leg----------10-cm.jpg,"Made of solid wood, which is a hardwearing and warm natural material.",Scandinavian
Beds,Mattress,database/images\Beds---------Mattress----------140x188-cm.jpg,"This mattress for LYCKSELE sofa-bed helps you sleep well every night. It feels steady to lie on, shapes itself to your body – and has a mattress cover that can be removed and machine washed.",Modern
Beds,Loft-bed-frame,database/images\Beds---------Loft-bed-frame----------90x200-cm.jpg,"It is the details that make this loft bed unique. Soft shapes, sturdy ladder and fabric guardrails with yellow accents. You can also pimp it with bedlinens and accessories from the MÖJLIGHET series.",Modern
Bookcases-shelving-units,Frame-with-mesh-baskets,database/images\Bookcases-&-shelving-units---------Frame-with-mesh-baskets----------25x51x70-cm.jpg,"Difficult to keep things neat and tidy? JONAXEL storage solution lets you use the space in smarter ways. Find a suitable combination and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,1-shelf-section,database/images\Bookcases-&-shelving-units---------1-shelf-section----------92x36x181-cm.jpg,Easy to assemble – no tools required.,Modern
Bookcases-shelving-units,Shelving-unit,database/images\Bookcases-&-shelving-units---------Shelving-unit----------182x51x160-cm.jpg,"It can be difficult to keep things neat and tidy. JONAXEL storage system lets you utilise the spaces you have in smarter ways. You can build a combination that fits exactly your needs and use it almost anywhere, even in humid bathrooms and laundry rooms.",Modern
Bookcases-shelving-units,Bookcase,database/images\Bookcases-&-shelving-units---------Bookcase----------60x180-cm.jpg,"Loads of books but short of space? This shallow bookcase holds your series collections without taking up too much floor space. Perfect for bedrooms, hallways or smaller living areas.",Modern
Bookcases-shelving-units,Shelving-unit,database/images\Bookcases-&-shelving-units---------Shelving-unit----------77x77-cm.jpg,Hang it on the wall or stand it on the floor – this shelving unit adapts to your needs. Smooth surfaces and rounded corners give a quality feel and you can personalise the unit with inserts and boxes.,Modern
Bookcases-shelving-units,Wall-shelf-unit,database/images\Bookcases-&-shelving-units---------Wall-shelf-unit----------30x190-cm.jpg,A tight space or an unused wall? This shelf almost always fits. You can also choose to hang it vertically or horizontally depending on space and storage needs.,Modern
